parliament,member,birthPlace,coordinates,start,end,party
54,Paul Beresford,Levin,(175.275 -40.63333),2005,2010,Conservative Party
57,Paul Beresford,Levin,(175.283333333 -40.625),2017,2019,Conservative Party
57,Paul Beresford,Levin,(175.275 -40.63333),2017,2019,Conservative Party
58,Jake Berry,Liverpool,(-2.991666666 53.407222222),2019,2024,Conservative Party
57,Jake Berry,Liverpool,(-2.991666666 53.407222222),2017,2019,Conservative Party
56,Jake Berry,Liverpool,(-2.991666666 53.407222222),2015,2017,Conservative Party
55,Jake Berry,Liverpool,(-2.991666666 53.407222222),2010,2015,Conservative Party
52,Robert Walter,Swansea,(-3.95 51.616666666),1997,2001,Conservative Party
54,Robert Walter,Swansea,(-3.95 51.616666666),2005,2010,Conservative Party
55,Robert Walter,Swansea,(-3.95 51.616666666),2010,2015,Conservative Party
53,Robert Walter,Swansea,(-3.95 51.616666666),2001,2005,Conservative Party
54,Angela Watkinson,Leytonstone,(0.01 51.569),2005,2010,Conservative Party
55,Angela Watkinson,Leytonstone,(0.01 51.569),2010,2015,Conservative Party
56,Angela Watkinson,Leytonstone,(0.01 51.569),2015,2017,Conservative Party
53,Angela Watkinson,Leytonstone,(0.01 51.569),2001,2005,Conservative Party
56,Andrew Bingham,Buxton,(-1.911 53.259),2015,2017,Conservative Party
55,Andrew Bingham,Buxton,(-1.911 53.259),2010,2015,Conservative Party
55,Brian Binley,Wellingborough,(-0.6964 52.294),2010,2015,Conservative Party
54,Brian Binley,Wellingborough,(-0.6964 52.294),2005,2010,Conservative Party
58,Bob Blackman,Metropolitan Borough of Kensington,(-0.1951 51.5021),2019,2024,Conservative Party
56,Bob Blackman,Metropolitan Borough of Kensington,(-0.1951 51.5021),2015,2017,Conservative Party
55,Bob Blackman,Metropolitan Borough of Kensington,(-0.1951 51.5021),2010,2015,Conservative Party
57,Bob Blackman,Metropolitan Borough of Kensington,(-0.1951 51.5021),2017,2019,Conservative Party
55,Nicola Blackwood,Johannesburg,(28.041638888 -26.204361111),2010,2015,Conservative Party
56,Nicola Blackwood,Johannesburg,(28.041638888 -26.204361111),2015,2017,Conservative Party
55,Mike Weatherley,Clevedon,(-2.854 51.438),2010,2015,Conservative Party
58,Crispin Blunt,Germany,(10.0 51.0),2019,2023,Conservative Party
58,Crispin Blunt,Germany,(10.0 51.0),2023,2024,Conservative Party
52,Crispin Blunt,Germany,(10.0 51.0),1997,2001,Conservative Party
54,Crispin Blunt,Germany,(10.0 51.0),2005,2010,Conservative Party
53,Crispin Blunt,Germany,(10.0 51.0),2001,2005,Conservative Party
57,Crispin Blunt,Germany,(10.0 51.0),2017,2019,Conservative Party
56,Crispin Blunt,Germany,(10.0 51.0),2015,2017,Conservative Party
55,Crispin Blunt,Germany,(10.0 51.0),2010,2015,Conservative Party
55,James Wharton,Wolviston,(-1.28333 54.6167),2010,2015,Conservative Party
56,James Wharton,Wolviston,(-1.28333 54.6167),2015,2017,Conservative Party
57,Nick Boles,United Kingdom,(-2.0 54.6),2019,2019,Conservative Party
57,Nick Boles,United Kingdom,(-2.0 54.6),2017,2019,Conservative Party
56,Nick Boles,United Kingdom,(-2.0 54.6),2015,2017,Conservative Party
55,Nick Boles,United Kingdom,(-2.0 54.6),2010,2015,Conservative Party
58,Heather Wheeler,Norwich,(1.292777777 52.628611111),2019,2024,Conservative Party
56,Heather Wheeler,Norwich,(1.292777777 52.628611111),2015,2017,Conservative Party
55,Heather Wheeler,Norwich,(1.292777777 52.628611111),2010,2015,Conservative Party
57,Heather Wheeler,Norwich,(1.292777777 52.628611111),2017,2019,Conservative Party
58,Peter Bone,Billericay,(0.4184 51.628),2019,2023,Conservative Party
58,Peter Bone,Billericay,(0.4184 51.628),2023,2023,Conservative Party
54,Peter Bone,Billericay,(0.4184 51.628),2005,2010,Conservative Party
55,Peter Bone,Billericay,(0.4184 51.628),2010,2015,Conservative Party
56,Peter Bone,Billericay,(0.4184 51.628),2015,2017,Conservative Party
57,Peter Bone,Billericay,(0.4184 51.628),2017,2019,Conservative Party
58,Peter Bottomley,Newport,(-2.3787 52.7691),2019,2024,Conservative Party
50,Peter Bottomley,Newport,(-2.3787 52.7691),1987,1992,Conservative Party
47,Peter Bottomley,Newport,(-2.3787 52.7691),1975,1979,Conservative Party
48,Peter Bottomley,Newport,(-2.3787 52.7691),1979,1983,Conservative Party
51,Peter Bottomley,Newport,(-2.3787 52.7691),1992,1997,Conservative Party
49,Peter Bottomley,Newport,(-2.3787 52.7691),1983,1987,Conservative Party
52,Peter Bottomley,Newport,(-2.3787 52.7691),1997,2001,Conservative Party
56,Peter Bottomley,Newport,(-2.3787 52.7691),2015,2017,Conservative Party
53,Peter Bottomley,Newport,(-2.3787 52.7691),2001,2005,Conservative Party
55,Peter Bottomley,Newport,(-2.3787 52.7691),2010,2015,Conservative Party
57,Peter Bottomley,Newport,(-2.3787 52.7691),2017,2019,Conservative Party
54,Peter Bottomley,Newport,(-2.3787 52.7691),2005,2010,Conservative Party
58,Karen Bradley,Newcastle-under-Lyme,(-2.2278 53.0109),2019,2024,Conservative Party
57,Karen Bradley,Newcastle-under-Lyme,(-2.2278 53.0109),2017,2019,Conservative Party
56,Karen Bradley,Newcastle-under-Lyme,(-2.2278 53.0109),2015,2017,Conservative Party
55,Karen Bradley,Newcastle-under-Lyme,(-2.2278 53.0109),2010,2015,Conservative Party
58,Nigel Adams,Goole,(-0.869172222 53.699216666),2019,2023,Conservative Party
56,Nigel Adams,Goole,(-0.869172222 53.699216666),2015,2017,Conservative Party
55,Nigel Adams,Goole,(-0.869172222 53.699216666),2010,2015,Conservative Party
57,Nigel Adams,Goole,(-0.869172222 53.699216666),2017,2019,Conservative Party
58,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2019,2024,Conservative Party
56,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2015,2017,Conservative Party
55,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2010,2015,Conservative Party
54,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2005,2010,Conservative Party
57,Adam Afriyie,Wimbledon,(-0.2171 51.4235),2017,2019,Conservative Party
58,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2019,2023,Conservative Party
55,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2012,2013,Conservative Party
55,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2013,2015,Conservative Party
55,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2010,2012,Conservative Party
54,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2005,2010,Conservative Party
56,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2015,2017,Conservative Party
57,Nadine Dorries,Liverpool,(-2.991666666 53.407222222),2017,2019,Conservative Party
58,Peter Aldous,Ipswich,(1.155555555 52.059444444),2019,2024,Conservative Party
56,Peter Aldous,Ipswich,(1.155555555 52.059444444),2015,2017,Conservative Party
55,Peter Aldous,Ipswich,(1.155555555 52.059444444),2010,2015,Conservative Party
57,Peter Aldous,Ipswich,(1.155555555 52.059444444),2017,2019,Conservative Party
21,Benjamin Disraeli,London,(-0.1275 51.507222222),1874,1876,Conservative Party
19,Benjamin Disraeli,London,(-0.1275 51.507222222),1865,1868,Conservative Party
20,Benjamin Disraeli,London,(-0.1275 51.507222222),1868,1874,Conservative Party
18,Benjamin Disraeli,London,(-0.1275 51.507222222),1859,1865,Conservative Party
17,Benjamin Disraeli,London,(-0.1275 51.507222222),1857,1859,Conservative Party
16,Benjamin Disraeli,London,(-0.1275 51.507222222),1852,1857,Conservative Party
13,Benjamin Disraeli,London,(-0.1275 51.507222222),1837,1841,Conservative Party
14,Benjamin Disraeli,London,(-0.1275 51.507222222),1841,1847,Conservative Party
15,Benjamin Disraeli,London,(-0.1275 51.507222222),1847,1852,Conservative Party
48,"John Moore, Baron Moore of Lower Marsh",Kentish Town,(-0.1459 51.5447),1979,1983,Conservative Party
49,"John Moore, Baron Moore of Lower Marsh",Kentish Town,(-0.1459 51.5447),1983,1987,Conservative Party
50,"John Moore, Baron Moore of Lower Marsh",Kentish Town,(-0.1459 51.5447),1987,1992,Conservative Party
46,"John Moore, Baron Moore of Lower Marsh",Kentish Town,(-0.1459 51.5447),1974,1974,Conservative Party
47,"John Moore, Baron Moore of Lower Marsh",Kentish Town,(-0.1459 51.5447),1974,1979,Conservative Party
14,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1841,1847,Conservative Party
13,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1837,1841,Conservative Party
10,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1831,1831,Conservative Party
10,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1831,1832,Conservative Party
15,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1847,1849,Conservative Party
11,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1832,1833,Conservative Party
9,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1830,1831,Conservative Party
49,Edward Heath,Broadstairs,(1.439438888 51.358880555),1983,1987,Conservative Party
48,Edward Heath,Broadstairs,(1.439438888 51.358880555),1979,1983,Conservative Party
51,Edward Heath,Broadstairs,(1.439438888 51.358880555),1992,1997,Conservative Party
50,Edward Heath,Broadstairs,(1.439438888 51.358880555),1987,1992,Conservative Party
45,Edward Heath,Broadstairs,(1.439438888 51.358880555),1970,1974,Conservative Party
46,Edward Heath,Broadstairs,(1.439438888 51.358880555),1974,1974,Conservative Party
47,Edward Heath,Broadstairs,(1.439438888 51.358880555),1974,1979,Conservative Party
43,Edward Heath,Broadstairs,(1.439438888 51.358880555),1964,1966,Conservative Party
40,Edward Heath,Broadstairs,(1.439438888 51.358880555),1951,1955,Conservative Party
44,Edward Heath,Broadstairs,(1.439438888 51.358880555),1966,1970,Conservative Party
42,Edward Heath,Broadstairs,(1.439438888 51.358880555),1959,1964,Conservative Party
41,Edward Heath,Broadstairs,(1.439438888 51.358880555),1955,1959,Conservative Party
39,Edward Heath,Broadstairs,(1.439438888 51.358880555),1950,1951,Conservative Party
52,Edward Heath,Broadstairs,(1.439438888 51.358880555),1997,2001,Conservative Party
44,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1966,1970,Conservative Party
46,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1974,1974,Conservative Party
45,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1970,1974,Conservative Party
37,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1935,1945,Conservative Party
42,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1963,1964,Conservative Party
43,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1964,1966,Conservative Party
39,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1950,1951,Conservative Party
36,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1931,1935,Conservative Party
41,Harold Macmillan,Chelsea,(-0.1684 51.4875),1955,1959,Conservative Party
37,Harold Macmillan,Chelsea,(-0.1684 51.4875),1935,1945,Conservative Party
42,Harold Macmillan,Chelsea,(-0.1684 51.4875),1959,1964,Conservative Party
39,Harold Macmillan,Chelsea,(-0.1684 51.4875),1950,1951,Conservative Party
34,Harold Macmillan,Chelsea,(-0.1684 51.4875),1924,1929,Conservative Party
40,Harold Macmillan,Chelsea,(-0.1684 51.4875),1951,1955,Conservative Party
38,Harold Macmillan,Chelsea,(-0.1684 51.4875),1945,1950,Conservative Party
36,Harold Macmillan,Chelsea,(-0.1684 51.4875),1931,1935,Conservative Party
41,Anthony Eden,Durham,(-1.566666666 54.783333333),1955,1957,Conservative Party
37,Anthony Eden,Durham,(-1.566666666 54.783333333),1935,1945,Conservative Party
39,Anthony Eden,Durham,(-1.566666666 54.783333333),1950,1951,Conservative Party
34,Anthony Eden,Durham,(-1.566666666 54.783333333),1924,1929,Conservative Party
40,Anthony Eden,Durham,(-1.566666666 54.783333333),1951,1955,Conservative Party
38,Anthony Eden,Durham,(-1.566666666 54.783333333),1945,1950,Conservative Party
35,Anthony Eden,Durham,(-1.566666666 54.783333333),1929,1931,Conservative Party
36,Anthony Eden,Durham,(-1.566666666 54.783333333),1931,1935,Conservative Party
33,Anthony Eden,Durham,(-1.566666666 54.783333333),1923,1924,Conservative Party
49,"Colin Moynihan, 4th Baron Moynihan",Surrey,(-0.45 51.25),1983,1987,Conservative Party
50,"Colin Moynihan, 4th Baron Moynihan",Surrey,(-0.45 51.25),1987,1992,Conservative Party
25,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1892,1895,Conservative Party
24,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1886,1892,Conservative Party
24,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1886,1886,Conservative Party
20,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1868,1874,Conservative Party
22,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1880,1885,Conservative Party
21,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1874,1880,Conservative Party
22,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1880,1880,Conservative Party
23,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1885,1886,Conservative Party
19,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1865,1868,Conservative Party
15,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1847,1852,Conservative Party
12,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1835,1837,Conservative Party
18,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1859,1865,Conservative Party
16,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1852,1857,Conservative Party
17,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1857,1859,Conservative Party
11,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1832,1834,Conservative Party
14,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1841,1845,Conservative Party
13,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1837,1841,Conservative Party
34,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1924,1929,Conservative Party
37,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1935,1937,Conservative Party
36,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1931,1935,Conservative Party
31,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1918,1922,Conservative Party
32,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1922,1923,Conservative Party
28,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1908,1910,Conservative Party
30,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1910,1918,Conservative Party
29,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1910,1910,Conservative Party
35,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1929,1931,Conservative Party
33,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1923,1924,Conservative Party
32,Bonar Law,Rexton,(-64.871388888 46.642777777),1922,1923,Conservative Party
31,Bonar Law,Rexton,(-64.871388888 46.642777777),1918,1922,Conservative Party
29,Bonar Law,Rexton,(-64.871388888 46.642777777),1910,1910,Conservative Party
30,Bonar Law,Rexton,(-64.871388888 46.642777777),1911,1918,Conservative Party
28,Bonar Law,Rexton,(-64.871388888 46.642777777),1906,1910,Conservative Party
27,Bonar Law,Rexton,(-64.871388888 46.642777777),1900,1906,Conservative Party
49,Tristan Garel-Jones,Gorseinon,(-4.03 51.66),1983,1987,Conservative Party
48,Tristan Garel-Jones,Gorseinon,(-4.03 51.66),1979,1983,Conservative Party
51,Tristan Garel-Jones,Gorseinon,(-4.03 51.66),1992,1997,Conservative Party
50,Tristan Garel-Jones,Gorseinon,(-4.03 51.66),1987,1992,Conservative Party
44,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1966,1970,Conservative Party
42,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1963,1964,Conservative Party
45,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1970,1970,Conservative Party
39,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1950,1950,Conservative Party
43,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1964,1966,Conservative Party
38,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1938,1945,Conservative Party
22,William Henry Smith,London,(-0.1275 51.507222222),1880,1885,Conservative Party
